just_date,Count,TMAX
2015-11-28,14,40
2008-01-01,33,29
2016-01-23,11,36
2016-02-01,16,54
2016-02-25,17,42
2011-03-15,14,46
2016-03-23,15,69
2016-05-03,13,66
2016-05-28,28,86
2016-06-08,14,85
2016-06-11,16,95
2016-06-12,14,98
2011-06-13,12,77
2016-06-14,24,94
2016-06-15,21,99
2016-06-23,17,99
2016-06-24,13,94
2016-06-30,13,81
2016-07-02,22,71
2016-07-03,21,72
2016-07-04,31,81
2016-07-05,18,95
2016-07-07,23,88
2016-07-10,27,93
2016-07-11,17,93
2016-07-12,18,89
2016-07-17,23,96
2016-07-18,10,95
2016-07-20,16,92
2016-07-24,17,101
2016-07-26,21,92
2015-08-02,20,96
2015-08-12,18,88
2015-10-21,14,86
2015-11-05,16,69
2015-11-29,14,42
2016-01-06,15,47
2016-03-10,12,59
2016-04-17,25,82
2016-04-18,14,83
2016-04-27,9,79
2010-05-01,14,74
2016-05-12,12,74
2016-05-21,23,78
2016-05-24,17,87
2016-05-26,25,82
2016-05-30,21,91
2016-05-31,17,85
2016-06-02,8,87
2016-06-03,20,79
2016-06-04,13,83
2016-06-05,26,80
2016-06-06,13,91
2016-06-09,17,91
2016-06-10,15,95
2016-06-13,19,96
2016-06-16,13,99
2016-06-17,18,88
2016-06-18,21,91
2016-06-19,11,94
2016-06-20,22,96
2016-06-21,21,89
2016-06-22,17,98
2016-06-25,28,97
2016-06-26,20,96
2016-06-27,16,96
2015-07-21,35,85
2015-09-01,14,93
2015-09-17,27,91
2014-10-01,30,88
2015-10-01,10,69
2010-11-01,25,61
2015-11-16,13,57
2010-01-05,12,22
2016-01-17,13,27
2016-03-19,13,52
2016-03-24,12,67
2016-03-25,15,54
2015-04-12,16,77
2016-04-15,22,78
2016-04-16,21,78
2016-04-20,10,71
2016-04-21,12,76
2016-04-23,18,73
2016-04-29,11,66
2016-04-30,19,77
2016-05-02,16,58
2016-05-04,11,70
2016-05-05,20,68
2016-05-06,13,81
2016-05-07,29,88
2016-05-09,16,73
2016-05-10,15,81
2016-05-11,11,82
2016-05-13,14,79
2016-05-17,6,54
2016-05-18,22,69
2016-05-19,17,72
2016-05-20,14,73
2016-05-23,13,85
2016-05-25,17,84
2016-05-29,14,88
2013-07-28,17,83
2016-01-27,13,43
2016-03-08,13,75
2016-03-13,13,66
2016-03-21,8,61
2016-03-26,14,65
2016-03-27,14,63
2016-03-28,22,63
2016-03-29,8,63
2016-03-30,11,69
2016-04-02,21,61
2016-04-03,12,78
2016-04-04,17,68
2016-04-05,13,57
2016-04-06,8,60
2016-04-07,17,61
2016-04-09,14,51
2016-04-10,13,65
2016-04-11,21,59
2016-04-12,14,58
2016-04-13,10,65
2016-04-14,16,71
2016-04-22,20,76
2016-04-26,19,83
2016-04-28,14,74
2013-12-01,16,58
2015-12-01,17,53
2016-01-11,17,42
2016-02-09,8,26
2016-02-18,15,61
2016-02-19,16,77
2016-02-22,15,48
2016-02-26,8,42
2016-03-02,16,44
2016-03-03,12,49
2016-03-04,15,43
2016-03-05,17,57
2016-03-06,22,63
2016-03-07,11,76
2016-03-11,13,61
2016-03-14,22,70
2016-03-15,30,82
2016-03-16,23,67
2016-03-17,16,66
2016-03-20,7,48
2015-10-12,17,81
2016-01-04,14,37
2016-01-09,20,45
2016-01-10,19,18
2016-01-19,11,24
2016-01-21,8,28
2016-01-24,17,49
2016-01-31,12,68
2015-02-02,10,29
2016-02-02,17,66
2016-02-04,8,43
2016-02-05,7,42
2016-02-06,11,58
2016-02-08,12,40
2016-02-10,6,24
2016-02-11,4,32
2016-02-12,10,33
2016-02-13,7,24
2016-02-14,9,31
2016-02-15,10,42
2016-02-17,19,50
2016-02-20,12,78
2016-02-21,11,59
2016-02-28,11,75
2016-02-29,8,70
2015-07-09,16,79
2015-11-22,16,43
2000-11-30,1,
2007-12-01,4,
2015-12-10,16,70
2015-12-11,11,63
2011-01-01,26,40
2016-01-05,10,42
2016-01-07,15,51
2016-01-08,15,55
2011-01-13,9,29
2016-01-13,8,49
2016-01-14,10,66
2016-01-16,10,34
2015-01-18,20,58
2016-01-20,5,29
2016-01-22,8,30
2016-01-25,15,52
2016-01-26,8,38
2016-01-28,9,56
2016-01-29,6,51
2016-01-30,18,66
2008-05-05,22,78
2005-07-21,1,
2015-07-28,16,100
2015-08-17,15,91
2015-08-27,23,80
2015-11-20,15,54
2010-11-29,25,52
2015-11-30,12,48
2015-12-02,11,45
2015-12-08,14,63
2015-12-12,8,72
2015-12-16,12,60
2007-12-17,2,
2015-12-20,16,57
2015-12-24,15,52
2015-12-25,11,52
2015-12-27,11,47
2015-12-28,10,48
2015-12-29,13,37
2015-12-30,12,35
2015-12-31,16,34
2015-04-27,19,67
2015-05-08,20,77
2014-05-20,15,89
2004-06-23,1,
2015-07-14,22,97
2015-07-16,19,92
2015-07-31,16,94
2015-09-15,22,85
2015-11-01,22,72
2015-11-06,14,68
2013-11-08,15,59
2015-11-08,10,57
2015-11-09,26,60
2015-11-14,14,71
2015-11-15,12,68
2015-11-24,20,65
2015-11-27,9,66
2015-12-03,24,49
2015-12-04,13,54
2015-12-05,19,54
2015-12-06,22,52
2015-12-07,9,50
2015-12-09,9,61
2015-12-13,21,68
2015-12-14,12,58
2015-12-17,11,38
2015-12-18,14,42
2015-12-19,11,47
2015-12-21,8,67
2015-12-22,16,54
2015-12-23,13,64
2015-12-26,6,54
2013-01-01,25,31
2005-01-21,1,
2015-02-12,15,29
2013-06-16,20,87
2015-06-21,33,89
2011-07-01,22,96
2015-08-19,22,74
2015-08-29,17,84
2015-09-23,12,85
2007-09-27,1,
2013-10-01,17,82
2015-10-11,20,81
2015-10-17,9,56
2015-10-19,13,79
2015-10-22,16,83
2015-10-25,25,64
2015-10-26,15,70
2015-10-27,12,62
2015-10-29,11,58
2015-10-30,15,58
2015-10-31,18,62
2014-11-02,20,52
2015-11-02,10,71
2015-11-03,19,66
2015-11-04,8,70
2015-11-07,14,59
2015-11-10,20,65
2015-11-11,6,68
2015-11-12,15,61
2015-11-13,18,60
2015-11-17,18,69
2015-11-18,11,66
2015-11-19,7,56
2015-11-21,10,47
2015-11-23,9,61
2015-11-25,19,60
2015-11-26,19,72
